RoleName,RoleId,Privilege,IsSystemRole
NoCryptoAdmin,-6,ContentLibrary.GetConfiguration,TRUE
NoCryptoAdmin,-6,ContentLibrary.ImportStorage,TRUE
NoCryptoAdmin,-6,ContentLibrary.ManageClusterRegistryResource,TRUE
NoCryptoAdmin,-6,ContentLibrary.ManageRegistry,TRUE
NoCryptoAdmin,-6,ContentLibrary.ManageRegistryProject,TRUE
NoCryptoAdmin,-6,ContentLibrary.ProbeSubscription,TRUE
NoCryptoAdmin,-6,ContentLibrary.PublishLibrary,TRUE
NoCryptoAdmin,-6,ContentLibrary.PublishLibraryItem,TRUE
NoCryptoAdmin,-6,ContentLibrary.ReadStorage,TRUE
NoCryptoAdmin,-6,ContentLibrary.SyncLibrary,TRUE
NoCryptoAdmin,-6,ContentLibrary.SyncLibraryItem,TRUE
NoCryptoAdmin,-6,ContentLibrary.TypeIntrospection,TRUE
NoCryptoAdmin,-6,ContentLibrary.UpdateConfiguration,TRUE
NoCryptoAdmin,-6,ContentLibrary.UpdateLibrary,TRUE
NoCryptoAdmin,-6,ContentLibrary.UpdateLibraryItem,TRUE
NoCryptoAdmin,-6,ContentLibrary.UpdateLocalLibrary,TRUE
NoCryptoAdmin,-6,ContentLibrary.UpdateSession,TRUE
NoCryptoAdmin,-6,ContentLibrary.UpdateSubscribedLibrary,TRUE
NoCryptoAdmin,-6,ContentLibrary.UpdateSubscription,TRUE
NoCryptoAdmin,-6,DVPortgroup.Create,TRUE
NoCryptoAdmin,-6,DVPortgroup.Delete,TRUE
NoCryptoAdmin,-6,DVPortgroup.Ipfix,TRUE
NoCryptoAdmin,-6,DVPortgroup.Modify,TRUE
NoCryptoAdmin,-6,DVPortgroup.PolicyOp,TRUE
NoCryptoAdmin,-6,DVPortgroup.ScopeOp,TRUE
